Market_place,URL,Product_name,SKU,Price,Currency,Subject,Author,Date,Review,Stars,like,dislike
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Dont buy it's an irregular fit,Judy,"February 3, 2022",The lid is way smaller than the seating area. Looks weird but I cannot afford to pay to remove and replace with another brand. Also Toilet is not as high as mentioned on box,1,9.0,16.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Make sure you buy a new hose going to the wall.,Kevin,"January 8, 2022",Very nice and easy to hookup,5,5.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Great water saver,Sewe55,"September 27, 2021","Great affordable toilet, easy to install. Chair high is great. Uses a lot less water than my old toilet. The toilet seat on the cheap side but ok.",5,7.0,2.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,"Quality toilet, easy install, cheap seat",Jeff,"June 24, 2021","I've installed about a dozen of the Aquasource Henshaw toilets around town in our various rentals and have always been pleased with the value and ease of maintenance. When I showed up a Lowes a few days ago to find out they were discontinuing the line I was not pleased - but this is the replacement for it and it's easily as good and in fact they improved a few things. The mounting parts for the bowl to the floor are better (hand tighten bolts and snap on covers). The flushing mechanism is simple and yet they raised it off the bottom of the fill tank a couple inches which lets sediment and such (big here in Tucson) fall to the bottom which I think is a better design. I put in two of these new models in this week and I'm pleased with them. They have, however, continued to ship a completely lame flimsy plastic seat so we use a heavier duty after market seat instead. But given this unit is $99 having to buy a better seat is small potatoes in my book.",5,33.0,4.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Ck before installatio u cant yrust box,Pinky,"May 20, 2022","The toilet in the box was not chair height, Clearly stock no said chair height but it was regular and we r 74 urs old and need the height and the lid to tank was broken in three pieces the plumbmer opened the box and installed not knowing it was wrong now we have to pay to have it removed, drive 54 miles gas is 4.59 a gallon to take it back and pay plumber to reinstall it! We r very dissapointed",1,5.0,3.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,How you don't have the same luck as I have had.,Disappointed,"October 1, 2022","This was my second toilet from Lowes in the past week. The first one arrived with the install, and when the box was opened the unit was cracked in pieces. That one was returned and I bought this one. This one was installed some days later by a Lowes installer and it wont hold the water in the bowl. I am still waiting for the installation people to come back and take this one out and try again. :(",1,9.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,"Affordable toilet, that works great",apara223,"September 10, 2022","This toilet looks and works as good as models costing hundreds more. At first I was a bit concerned buying a $99 product, however, after it was installed, I thought it looked really good. My only complaint has to do with a toilet seat. The seat included is a thin plastic seat which bends and flexes when you sit on the toilet. Lowes sells an inexpensive old wooden style seat for $12. I replaced the seat that came with my toilet. Wish the toilet came with the wooden seat from getgo.",4,9.0,1.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Reasonably priced. Quality product.,Linda B,"August 1, 2021",Good value for the price. I purchased two and would purchase again. Sturdy and good flush force.,5,17.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Toilet-yes Stickers-no,April,"July 14, 2021","This is a fine toilet so far. I especially love these multiple random blue sticker that are placed on each toilet, that serve no purpose other than to make my life difficult.",4,11.0,7.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,"Great value, performance and fit!",Chris G,"February 9, 2022","The value was great but only because it works great - especially for the efficiency it provides. I was going from a 3 gallon per flush unit so I had reservations, but no worries now. The added plus was that the base was wide enough to cover the footprint of the previous toilet which helped avoid an aesthetic nightmare.",5,10.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Nice,Lynn,"March 7, 2022",The height was good. The toilet was easy to install.,5,6.0,2.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,NOT A CHAIR HEIGHT,Cher,"June 15, 2022","I wish I had seen this before my husband installed this, it’s not as high as the toilet I had. If you want a chair height don’t get this one unless you have short legs.",1,4.0,1.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Easy and quick to install,FloridaSteve,"December 3, 2022","Needed to replace an old standard height toilet and decided on a chair height elongated. Didn't need a big fancy model, just one that worked. This matched all my wants. From the time I picked it up at Lowes, to being completely installed was just at 3 hours, by myself and removing the old one. Fit perfectly and everything was there. Really liked how the tank flush mechanism was preinstalled and the wax ring was included. Didn't have to make any return trips to get things not included and all you need is the wrench for the bowl bolts, and a scraper to remove the old wax ring from the mount. Good value if your just looking for a toilet.",5,0.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Super good and cheap toilet！！,Matteo,"March 9, 2022","The function of the toilet is very good,Obviously, it can wash away all solids, and its price is far lower than American Standard and Kohler. It has the same quality as American Standard. It is my best choice.",5,12.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Great looks and easy to install,modemz,"November 13, 2022","This is really easy to install. I replaced a round toilet with this elongated one as kids outgrew the round toilet. The great part is that this toilet takes up less depth from the wall compared to the round Delta toilet that I just replaced! The tank lid is actually good and it is not just a lid that sits on the tank but fits into the tank - so it's a tight fitting lid and not just a lid that sits on top of the tank. The flush seems quite powerful. As other reviews have mentioned the lid is super flimsy, but anyway I am getting a brondell bidet to replace the lid and didnt care about that. if you want a soft close or a better lid, just buy that separately.. the toilet itself is great.",5,1.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Recommended 100% by a master plumber,OCROOTERGUY,"September 1, 2021","This is one of the best toilet I’ve ever e installed, my customer bought this toilet at Lowe’s she asked me to install it, when I finish with the installation OMG !!! This is a great toilet so from now on I’ll be installing this brand, thank you Lowe’s for having such a great product.",5,17.0,2.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Useful,Kelly,"December 12, 2021",I purchased the toilet for my mom. She thoroughly enjoys it. Especially the height as she is having health issues.,4,10.0,0.0
